feature,importance
authors__token_set,0.220836439990221
title__ratio,0.1848268982309021
title__token_sort,0.13323100761725026
authors__token_sort,0.13318668431807285
title__token_set,0.11841329757228827
authors__ratio,0.08118179180666121
year__abs_diff,0.029188962344855886
year__rel_diff,0.024243746660103354
venue__token_set,0.019873553831082684
title__exact,0.018712220370910516
venue__ratio,0.013687390902851676
venue__token_sort,0.012733118419899785
year__both_present,0.004921439581895607
authors__exact,0.004613473890784854
venue__exact,0.0003499744622198572
